Name,stat_v,relax_v,dual_v,dual_gap,pc_v,pc_gap,pc_time,bc_v,bc_gap,bc_time,PR,PR_bc
700_USA-road-d.NY.gr,36248.0,38173.94366302132,43329.05,11.9,39020.86,2.0,315.95700001716614,43329.05,11.9,85.99199986457825,7.0,16.0
750_USA-road-d.BAY.gr,38281.0,39785.37482429267,46226.95,13.93,39734.97,-0.0,306.3239998817444,48015.32,17.14,88.12800002098083,4.0,20.0
750_USA-road-d.COL.gr,30743.0,31521.0095713306,39224.0,19.64,32918.16,4.0,325.4059998989105,39554.09,20.31,122.65199995040894,7.0,22.0
750_USA-road-d.NY.gr,35956.0,38485.05125,43624.92,11.78,39693.0,3.0,301.3090000152588,43624.92,11.78,87.78400015830994,9.0,18.0
800_USA-road-d.BAY.gr,33047.0,35698.9701437857,40198.44,11.19,35457.01,-1.0,301.4539999961853,42787.96000000001,16.57,89.97499990463257,7.0,23.0
800_USA-road-d.COL.gr,30743.0,31238.25513196481,39224.0,20.36,32918.16,5.0,320.70099997520447,39554.09,21.02,94.9740002155304,7.0,22.0
800_USA-road-d.NY.gr,35956.0,37999.432,43624.92,12.9,39693.0,4.0,304.0989999771118,43624.92,12.9,93.97500014305116,9.0,18.0
850_USA-road-d.BAY.gr,35151.0,38165.395003294005,42201.06,9.56,37722.01,-1.0,306.75500011444086,42463.44,10.12,91.25499987602234,7.0,17.0
850_USA-road-d.COL.gr,24068.0,24625.22,29672.76,17.01,24119.24,-2.0,303.94000005722046,29904.82,17.65,94.9319999217987,0.0,20.0
850_USA-road-d.NY.gr,36248.0,37992.12786270872,43329.05,12.32,38404.0,1.0,312.6179997920991,43329.05,12.32,90.45099997520448,6.0,16.0
900_USA-road-d.BAY.gr,45383.0,47533.72782697926,54240.21,12.36,48217.32,1.0,311.4630000591278,57783.67,17.74,94.21199989318848,6.0,21.0
900_USA-road-d.COL.gr,24068.0,24625.22,29672.76,17.01,24119.24,-2.0,313.28799986839294,29904.82,17.65,92.38499999046326,0.0,20.0
900_USA-road-d.NY.gr,36248.0,37992.12786270872,43329.05,12.32,38404.0,1.0,301.2300000190735,43329.05,12.32,90.74200010299684,6.0,16.0
950_USA-road-d.BAY.gr,45383.0,47351.54687237226,54240.21,12.7,48217.32,2.0,309.6649999618531,54274.16999999999,12.75,92.40900015830994,6.0,16.0
950_USA-road-d.COL.gr,24068.0,24625.22,29672.76,17.01,24119.24,-2.0,312.4279999732971,29904.82,17.65,91.28700017929076,0.0,20.0
950_USA-road-d.NY.gr,36248.0,37925.55307332185,43329.05,12.47,38317.37,1.0,303.2029998302461,43329.05,12.47,91.8159999847412,5.0,16.0
1000_USA-road-d.BAY.gr,40117.0,43350.56819567628,48250.0,10.15,45025.67,4.0,191.34400010108948,48249.99999999999,10.15,90.4480001926422,11.0,17.0
1000_USA-road-d.COL.gr,24068.0,24625.22,29672.76,17.01,24119.24,-2.0,192.39199995994568,24068.0,-2.32,17.625,0.0,0.0
1000_USA-road-d.NY.gr,36248.0,37925.55307332185,43329.05,12.47,37840.66,-0.0,189.91599988937375,36248.0,-4.63,16.180999994277954,0.0,0.0
1100_USA-road-d.BAY.gr,54157.0,58495.76651895403,82422.56,29.03,60691.5,4.0,301.69600009918213,,5849676.65,97.4119999408722,11.0,
1100_USA-road-d.COL.gr,34075.0,34608.45133333333,42766.5,19.08,32664.0,-6.0,183.99900007247925,32664.0,-5.95,49.66000008583069,-4.0,-4.0
1100_USA-road-d.NY.gr,49351.0,54308.320446471145,70089.23,22.52,53670.0,-1.0,202.9570000171661,57273.0,5.18,107.9760000705719,8.0,14.0
1200_USA-road-d.BAY.gr,62095.0,66440.78232005474,76338.22,12.97,64622.24,-3.0,303.40899991989136,,6644178.23,115.58200001716614,4.0,
1200_USA-road-d.COL.gr,34075.0,34933.68182978724,42766.5,18.32,34075.0,-3.0,200.32099986076355,42766.5,18.32,116.22499990463255,0.0,20.0
1200_USA-road-d.NY.gr,59590.0,66446.57966772153,72565.99,8.43,67804.91,2.0,197.48300004005432,72565.98999999999,8.43,102.60199999809264,12.0,18.0
1300_USA-road-d.BAY.gr,60392.0,65196.092291149296,77072.89,15.41,62280.0,-5.0,314.39400005340576,,6519709.23,105.49000000953674,3.0,
1300_USA-road-d.COL.gr,32664.0,33738.713914554224,105857943.6,99.97,32664.0,-3.0,300.36299991607666,,3373971.39,105.20000004768372,0.0,
1300_USA-road-d.NY.gr,55547.0,63171.65043103449,67883.94,6.94,63761.91,1.0,187.5650000572205,67883.94000000002,6.94,106.00699996948242,13.0,18.0
1400_USA-road-d.BAY.gr,67712.0,72098.40477898766,79995.28,9.87,69874.0,-3.0,204.97300004959104,79995.28000000001,9.87,1565.5659999847412,3.0,15.0
1400_USA-road-d.COL.gr,32664.0,33798.725427675774,,,32664.0,-3.0,192.2059998512268,42092.17,19.7,109.39199995994568,0.0,22.0
1400_USA-road-d.NY.gr,55490.0,62809.77353658538,67883.94,7.47,63761.91,1.0,183.5059998035431,67883.93999999999,7.47,105.24300003051758,13.0,18.0
1500_USA-road-d.BAY.gr,67185.0,68233.4490372476,78985149.11,99.91,67179.0,-2.0,317.14599990844727,79379.73000000001,14.04,511.4900000095368,-0.0,15.0
1500_USA-road-d.COL.gr,32664.0,33996.34030501089,,,32664.0,-4.0,219.61700010299683,42092.16999999999,19.23,111.57699990272522,0.0,22.0
1500_USA-road-d.NY.gr,53912.0,60963.98471111111,66475.47,8.29,61932.26,2.0,196.010999917984,66475.47,8.29,2450.5099999904637,13.0,19.0
1600_USA-road-d.BAY.gr,69790.99999999994,70877.1063686431,86099710.98,99.92,69794.0,-2.0,306.40199995040894,,7087810.64,116.67499995231628,0.0,
1600_USA-road-d.COL.gr,34075.0,34318.42148664345,,,32664.0,-5.0,217.4960000514984,42092.17,18.47,113.8840000629425,-4.0,19.0
